Feature ID	Taxon	Confidence
018fbda98902018cb8a7c446362661a8	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri	0.9947427979175352
019f0b6e21905ffab4d92457b9dc0e09	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales	0.9983747544487149
01da95b5ae8936e0b1824914a8e5af56	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Odoribacteraceae]; g__Butyricimonas; s__	0.9579312010093174
01dc9aa896f5eea9760e9d8366fcc99c	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__	0.9922169577999315
01ddef8cfbadf2979aa10291f19b0af2	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__	0.9999995345784445
01e8b8d0a40e8061e7bdb024ffe16695	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__	0.9944191764328709
01e95254a8238a248259068b9e853998	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0.9161246053765416
01ec12b6c0c810e3eafc2b7a5a16527e	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae	0.9995656498870876
01fa4e22cbec243e1b1758b80cd3a457	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae; g__; s__	0.991101130489735
0203d42b9dbe77c7dca47a09e5353412	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.8434984784987658
020545e26e1acd04c47ef3aa02bcdda0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__	0.8308003583964897
020ceddf10bb6d2c837fb3e9fb2e60c3	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__melaninogenica	0.9999999746862759
020d27ecc330d6eb5258c3e5bc680004	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.9999614644462069
020e61a051f2b43e0d0464216caf4471	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.9949482648767098
0211a0b6fb137e8a427afa08291eaabf	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.999605801948823
021b5ec5d3eda51e644846d87006fcce	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides	0.9273847590442083
021c77ffe84cda2a4a73625749249669	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Slackia; s__	0.9999999964602893
022301fe4b70e0c52036f345aa4b49fa	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Mogibacteriaceae]; g__; s__	0.9996161019247077
0224fa7edf27fde5354239691fdd2af8	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae	0.999633007097611
022b2546053d2248c01eddb7c1d623aa	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Succinivibrionaceae; g__Succinivibrio; s__	0.9999999980245633
023cd738e8f2cb10714137c9ce460420	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae	0.9966607808927386
024bf02a3401cb0ca3f0b016b81fa366	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.9999950243788286
02576df1709d7127150a6f1ec71d6781	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__	0.9984896216699478
025fa31884b1f62dedd56b191e7e25cd	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0.9999546237037024
0267c081129f381d89ddead87af1a755	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii	0.9998772657837061
026c28c41f2d295ded33a998cd9e945c	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes	0.9210448494496424
026d6938c1421fc3966ae26a3d1e316f	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnobacterium; s__	0.9996853763845763
0270854712f1cc5db51e50a0175f4cb9	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__	0.9989560078341706
027157c9cb0f68072cacc47c1b6f4c71	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Helicobacteraceae; g__Flexispira; s__	0.9996325535371678
027a2397a81c793ec922933d0e977f96	k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__; g__; s__	0.9999999978527114
028039996fe71ac05d349a52c23a6c34	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__[Eubacterium]; s__biforme	0.99999999999811
028db1146f488a8960d0bff81904aa5d	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0.9800603036731501
0299101fe8e436768652b0cab169d10b	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces	0.9998955837167413
02b31afb543ce52ac6f1082b3ad3dece	k__Bacteria	0.9999998567351265
02b703d0685baec2dbf805b6ec8239e4	k__Bacteria	0.9999996559045436
02d7537d7057a8d72f8721b71af2caa2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__	0.9980086697077492
02dad40ec7f1daa6d98aefe8fa055eea	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__; s__	0.9961185832890129
02e705b2dc063a6ddc48f11d2d938248	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae	0.9992508788776898
02f59f794b2cf4fe1c3712a3e928a5d2	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__; s__	0.7769699711652001
02fb4d4cc9f8af1e8e6e11025003ab77	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__	0.8156044162477953
03014366bd6a964f0c024538c089651e	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.997595284506512
03016b234cdeb2eec46cc14992edad56	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Gemmiger; s__formicilis	0.8600823542480347
030f2e5b72668a6b80b08e4d1322e034	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0.8329149129551218
031f7543f08ef539bf39889ef04cbd9f	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0.8938814436606098
032c07c4ca911853cb81b835065d6b3d	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__	0.9400502648808546
032f37b1f662f5cf39b4e93f133f0cbd	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.9989668064352597
034545cba0cdc6fc553c1a44cc686a5b	k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__; g__; s__	0.9999999984286774
03469452182af89d16cee05e9241e53c	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	0.9997986402483189
