Family,Genus,beta.time2aids5 - 10 yrs,beta.time2aids< 5 yrs,beta.age,se.time2aids5 - 10 yrs,se.time2aids< 5 yrs,se.age,W.time2aids5 - 10 yrs,W.time2aids< 5 yrs,W.age,p.time2aids5 - 10 yrs,p.time2aids< 5 yrs,p.age,q.time2aids5 - 10 yrs,q.time2aids< 5 yrs,q.age,structural_zero (time2aids = > 10 yrs),structural_zero (time2aids = 5 - 10 yrs),structural_zero (time2aids = < 5 yrs)
Methanobacteriaceae,Methanobrevibacter,1.18,0.244,-0.0141,0.659,0.532,0.0161,1.79,0.46,-0.879,0.0728,0.646,0.379,0.966,0.989,0.713,No,No,No
Methanobacteriaceae,Methanosphaera,0.566,0.199,-0.00802,0.287,0.177,0.00568,1.97,1.12,-1.41,0.0489,0.262,0.158,0.966,0.966,0.614,No,No,No
Actinomycetaceae,Actinomyces,-0.158,-0.25,0.0152,0.367,0.311,0.013,-0.43,-0.803,1.17,0.667,0.422,0.242,0.966,0.966,0.614,No,No,No
Bifidobacteriaceae,Bifidobacterium,0.711,-0.00347,0.00742,0.743,0.684,0.0228,0.957,-0.00506,0.326,0.338,0.996,0.745,0.966,0.996,0.934,No,No,No
Coriobacteriaceae,Collinsella,-0.586,-0.31,0.0113,0.502,0.415,0.012,-1.17,-0.747,0.939,0.243,0.455,0.348,0.966,0.966,0.713,No,No,No
Coriobacteriaceae,Slackia,-0.0575,-0.543,0.0145,0.429,0.388,0.0101,-0.134,-1.4,1.43,0.893,0.161,0.152,0.973,0.966,0.614,No,No,No
[Odoribacteraceae],Butyricimonas,-0.433,0.203,0.00823,0.445,0.426,0.0092,-0.975,0.476,0.895,0.33,0.634,0.371,0.966,0.989,0.713,No,No,No
[Odoribacteraceae],Odoribacter,0.199,-0.142,-0.00162,0.385,0.374,0.00883,0.515,-0.381,-0.183,0.606,0.703,0.855,0.966,0.996,0.972,No,No,No
[Paraprevotellaceae],[Prevotella],0.902,1.24,-0.0412,0.643,0.759,0.023,1.4,1.64,-1.79,0.16,0.102,0.0738,0.966,0.966,0.575,No,No,No
[Paraprevotellaceae],CF231,-0.0575,0.236,8.59e-4,0.335,0.393,0.0116,-0.172,0.601,0.0739,0.864,0.548,0.941,0.973,0.981,0.972,No,No,No
[Paraprevotellaceae],Paraprevotella,0.398,0.103,-0.0409,0.557,0.545,0.0138,0.715,0.189,-2.96,0.475,0.85,0.00304,0.966,0.996,0.0853,No,No,No
Bacteroidaceae,Bacteroides,-0.482,0.174,-0.00954,0.539,0.504,0.0152,-0.895,0.346,-0.626,0.371,0.73,0.531,0.966,0.996,0.773,No,No,No
Porphyromonadaceae,Parabacteroides,0.35,0.33,-0.0184,0.453,0.454,0.0108,0.774,0.726,-1.7,0.439,0.468,0.0898,0.966,0.966,0.575,No,No,No
Prevotellaceae,Prevotella,0.864,1.18,-0.0218,0.682,0.725,0.0217,1.27,1.62,-1,0.205,0.104,0.315,0.966,0.966,0.705,No,No,No
Rikenellaceae,Alistipes,-0.316,0.334,0.00564,0.605,0.607,0.0153,-0.521,0.55,0.368,0.602,0.582,0.713,0.966,0.981,0.913,No,No,No
Enterococcaceae,Enterococcus,0.133,-0.127,-0.00844,0.282,0.278,0.00867,0.473,-0.455,-0.974,0.636,0.649,0.33,0.966,0.989,0.705,No,No,No
Lactobacillaceae,Lactobacillus,0.158,0.0325,0.00955,0.362,0.329,0.0132,0.437,0.0986,0.726,0.662,0.921,0.468,0.966,0.996,0.73,No,No,No
Streptococcaceae,Streptococcus,-0.316,-0.345,0.0131,0.495,0.399,0.0175,-0.639,-0.865,0.75,0.523,0.387,0.453,0.966,0.966,0.73,No,No,No
Turicibacteraceae,Turicibacter,0.619,-0.271,0.00208,0.462,0.437,0.0158,1.34,-0.62,0.132,0.18,0.536,0.895,0.966,0.981,0.972,No,No,No
[Mogibacteriaceae],Mogibacterium,0.213,-0.418,0.0029,0.495,0.388,0.0146,0.43,-1.08,0.199,0.667,0.281,0.842,0.966,0.966,0.972,No,No,No
