Family,beta.time2aids5 - 10 yrs,beta.time2aids< 5 yrs,beta.age,se.time2aids5 - 10 yrs,se.time2aids< 5 yrs,se.age,W.time2aids5 - 10 yrs,W.time2aids< 5 yrs,W.age,p.time2aids5 - 10 yrs,p.time2aids< 5 yrs,p.age,q.time2aids5 - 10 yrs,q.time2aids< 5 yrs,q.age,structural_zero (time2aids = > 10 yrs),structural_zero (time2aids = 5 - 10 yrs),structural_zero (time2aids = < 5 yrs)
Erysipelotrichaceae,-0.319,-0.0606,0.0247,0.373,0.28,0.0101,-0.856,-0.216,2.45,0.392,0.829,0.0143,0.831,0.953,0.196,No,No,No
Fusobacteriaceae,0.0489,-0.0597,0.0208,0.465,0.472,0.0127,0.105,-0.126,1.64,0.916,0.899,0.101,0.977,0.953,0.517,No,No,No
Victivallaceae,0.42,0.186,0.00254,0.435,0.418,0.0121,0.965,0.445,0.211,0.334,0.656,0.833,0.831,0.953,0.932,No,No,No
Alcaligenaceae,-0.793,0.495,-0.00376,0.555,0.497,0.0147,-1.43,0.997,-0.257,0.153,0.319,0.797,0.831,0.953,0.932,No,No,No
Oxalobacteraceae,0.0273,0.217,0.00898,0.305,0.29,0.00909,0.0893,0.747,0.988,0.929,0.455,0.323,0.977,0.953,0.602,No,No,No
Desulfovibrionaceae,-0.056,0.548,0.00279,0.449,0.532,0.0139,-0.125,1.03,0.201,0.901,0.304,0.841,0.977,0.953,0.932,No,No,No
Helicobacteraceae,0.106,0.125,-0.00603,0.226,0.261,0.00515,0.471,0.48,-1.17,0.638,0.631,0.242,0.977,0.953,0.602,No,No,No
Succinivibrionaceae,-0.121,0.83,-0.0132,0.832,0.884,0.0288,-0.145,0.939,-0.457,0.885,0.348,0.647,0.977,0.953,0.856,No,No,No
Enterobacteriaceae,-0.104,0.193,0.023,0.68,0.648,0.0166,-0.154,0.297,1.39,0.878,0.766,0.166,0.977,0.953,0.602,No,No,No
Pasteurellaceae,0.387,0.317,-0.0164,0.397,0.374,0.00884,0.975,0.846,-1.86,0.33,0.398,0.0634,0.831,0.953,0.433,No,No,No
Anaeroplasmataceae,0.0766,0.347,-0.00715,0.286,0.326,0.0063,0.268,1.07,-1.14,0.789,0.286,0.256,0.977,0.953,0.602,No,No,No
[Cerasicoccaceae],-0.00422,-0.278,-9.31e-4,0.354,0.29,0.0133,-0.0119,-0.957,-0.0699,0.991,0.339,0.944,0.991,0.953,0.944,No,No,No
Verrucomicrobiaceae,0.0977,-0.176,0.0149,0.612,0.51,0.0163,0.16,-0.346,0.913,0.873,0.729,0.361,0.977,0.953,0.631,No,No,No
Unknown,0.256,0.0255,-0.00232,0.283,0.284,0.009,0.902,0.0896,-0.258,0.367,0.929,0.797,0.831,0.953,0.932,No,No,No
