Family,beta.time2aids5 - 10 yrs,beta.time2aids< 5 yrs,beta.age,se.time2aids5 - 10 yrs,se.time2aids< 5 yrs,se.age,W.time2aids5 - 10 yrs,W.time2aids< 5 yrs,W.age,p.time2aids5 - 10 yrs,p.time2aids< 5 yrs,p.age,q.time2aids5 - 10 yrs,q.time2aids< 5 yrs,q.age,structural_zero (time2aids = > 10 yrs),structural_zero (time2aids = 5 - 10 yrs),structural_zero (time2aids = < 5 yrs)
Methanobacteriaceae,1.15,0.213,-0.00613,0.641,0.518,0.0159,1.8,0.412,-0.384,0.0721,0.681,0.701,0.831,0.953,0.898,No,No,No
Actinomycetaceae,-0.0782,-0.328,0.0283,0.38,0.328,0.0133,-0.206,-1,2.12,0.837,0.317,0.0338,0.977,0.953,0.346,No,No,No
Bifidobacteriaceae,0.671,-0.0512,0.0151,0.742,0.681,0.0227,0.905,-0.0752,0.665,0.366,0.94,0.506,0.831,0.953,0.742,No,No,No
Coriobacteriaceae,-0.45,-0.182,0.0282,0.541,0.41,0.0114,-0.832,-0.444,2.49,0.405,0.657,0.0129,0.831,0.953,0.196,No,No,No
[Barnesiellaceae],0.225,-0.105,-0.00152,0.52,0.507,0.0131,0.433,-0.206,-0.115,0.665,0.837,0.908,0.977,0.953,0.944,No,No,No
[Odoribacteraceae],-0.411,-0.17,0.0158,0.394,0.384,0.00845,-1.04,-0.443,1.87,0.297,0.658,0.0614,0.831,0.953,0.433,No,No,No
[Paraprevotellaceae],0.528,0.821,-0.0341,0.583,0.686,0.0221,0.906,1.2,-1.54,0.365,0.231,0.123,0.831,0.953,0.561,No,No,No
Bacteroidaceae,-0.522,0.127,-0.00188,0.516,0.49,0.0151,-1.01,0.259,-0.125,0.312,0.795,0.901,0.831,0.953,0.944,No,No,No
Porphyromonadaceae,0.271,0.247,-0.011,0.424,0.428,0.0105,0.639,0.577,-1.05,0.523,0.564,0.293,0.932,0.953,0.602,No,No,No
Prevotellaceae,0.826,1.13,-0.0141,0.69,0.728,0.0218,1.2,1.55,-0.646,0.231,0.12,0.518,0.831,0.953,0.742,No,No,No
Rikenellaceae,-0.643,0.0655,0.0153,0.558,0.563,0.0138,-1.15,0.116,1.1,0.249,0.907,0.27,0.831,0.953,0.602,No,No,No
S24-7,0.544,0.0372,-0.0127,0.633,0.635,0.0184,0.859,0.0587,-0.693,0.39,0.953,0.488,0.831,0.953,0.742,No,No,No
Elusimicrobiaceae,-0.258,-0.296,-0.00805,0.35,0.331,0.00661,-0.737,-0.894,-1.22,0.461,0.372,0.223,0.88,0.953,0.602,No,No,No
Enterococcaceae,0.0938,-0.173,-7.9e-4,0.284,0.279,0.00856,0.33,-0.621,-0.0923,0.741,0.535,0.926,0.977,0.953,0.944,No,No,No
Lactobacillaceae,0.113,-0.238,0.0283,0.425,0.387,0.0171,0.267,-0.615,1.66,0.79,0.539,0.0967,0.977,0.953,0.517,No,No,No
Streptococcaceae,-0.492,-0.479,0.0263,0.516,0.432,0.0183,-0.953,-1.11,1.43,0.34,0.267,0.152,0.831,0.953,0.602,No,No,No
Turicibacteraceae,0.579,-0.317,0.00973,0.454,0.429,0.0155,1.28,-0.741,0.627,0.202,0.459,0.531,0.831,0.953,0.742,No,No,No
[Mogibacteriaceae],-0.0541,-0.206,0.0205,0.382,0.27,0.00786,-0.142,-0.762,2.61,0.887,0.446,0.00897,0.977,0.953,0.196,No,No,No
Christensenellaceae,0.00948,-0.128,0.00975,0.497,0.53,0.016,0.0191,-0.241,0.609,0.985,0.81,0.543,0.991,0.953,0.742,No,No,No
Clostridiaceae,0.451,0.384,0.00737,0.471,0.4,0.0107,0.958,0.96,0.688,0.338,0.337,0.491,0.831,0.953,0.742,No,No,No
Dehalobacteriaceae,0.0258,-0.123,-0.00751,0.284,0.239,0.00737,0.0909,-0.513,-1.02,0.928,0.608,0.308,0.977,0.953,0.602,No,No,No
Eubacteriaceae,-0.119,-0.0495,-0.00603,0.247,0.258,0.00596,-0.484,-0.191,-1.01,0.629,0.848,0.312,0.977,0.953,0.602,No,No,No
Lachnospiraceae,-0.249,-0.217,0.00816,0.206,0.235,0.00708,-1.21,-0.92,1.15,0.228,0.357,0.249,0.831,0.953,0.602,No,No,No
Peptococcaceae,0.353,-0.664,-0.0121,0.491,0.437,0.0135,0.719,-1.52,-0.898,0.472,0.129,0.369,0.88,0.953,0.631,No,No,No
Peptostreptococcaceae,0.779,0.173,-0.00552,0.473,0.512,0.0156,1.65,0.337,-0.354,0.0992,0.736,0.723,0.831,0.953,0.899,No,No,No
Ruminococcaceae,-0.2,0.0303,0.0043,0.16,0.157,0.00376,-1.25,0.193,1.14,0.212,0.847,0.253,0.831,0.953,0.602,No,No,No
Veillonellaceae,-0.049,0.764,-0.0127,0.368,0.325,0.0128,-0.133,2.35,-0.992,0.894,0.0186,0.321,0.977,0.762,0.602,No,No,No
