Family,Genus,Species,beta.time2aids5 - 10 yrs,beta.time2aids< 5 yrs,beta.age,se.time2aids5 - 10 yrs,se.time2aids< 5 yrs,se.age,W.time2aids5 - 10 yrs,W.time2aids< 5 yrs,W.age,p.time2aids5 - 10 yrs,p.time2aids< 5 yrs,p.age,q.time2aids5 - 10 yrs,q.time2aids< 5 yrs,q.age,structural_zero (time2aids = > 10 yrs),structural_zero (time2aids = 5 - 10 yrs),structural_zero (time2aids = < 5 yrs)
Bifidobacteriaceae,Bifidobacterium,B.adolescentis,1.23,0.807,0.0393,0.674,0.593,0.0212,1.83,1.36,1.85,0.0674,0.174,0.064,0.692,0.641,0.384,No,No,No
Coriobacteriaceae,Collinsella,C.aerofaciens,-0.527,-0.52,0.0119,0.5,0.453,0.0113,-1.05,-1.15,1.05,0.291,0.251,0.292,0.692,0.753,0.581,No,No,No
Bacteroidaceae,Bacteroides,B.caccae,0.396,0.0186,0.0143,0.509,0.473,0.0143,0.777,0.0393,0.998,0.437,0.969,0.318,0.801,0.969,0.581,No,No,No
Bacteroidaceae,Bacteroides,B.eggerthii,0.62,0.126,-0.00425,0.459,0.434,0.0122,1.35,0.29,-0.347,0.177,0.771,0.728,0.692,0.954,0.9,No,No,No
Bacteroidaceae,Bacteroides,B.fragilis,0.227,-0.392,-0.0089,0.464,0.445,0.00987,0.49,-0.88,-0.902,0.624,0.379,0.367,0.836,0.858,0.642,No,No,No
Bacteroidaceae,Bacteroides,B.ovatus,-0.461,0.996,-0.0178,0.579,0.573,0.0155,-0.796,1.74,-1.14,0.426,0.0822,0.252,0.801,0.641,0.581,No,No,No
Bacteroidaceae,Bacteroides,B.uniformis,-0.314,0.105,0.0118,0.63,0.595,0.0153,-0.499,0.176,0.772,0.618,0.86,0.44,0.836,0.954,0.696,No,No,No
Porphyromonadaceae,Parabacteroides,P.distasonis,0.59,0.824,-0.0295,0.387,0.424,0.00874,1.52,1.94,-3.37,0.127,0.0521,7.41e-4,0.692,0.641,0.0156,No,No,No
Prevotellaceae,Prevotella,P.copri,0.431,1.23,-0.0312,0.911,0.843,0.0312,0.472,1.46,-1,0.637,0.144,0.317,0.836,0.641,0.581,No,No,No
Prevotellaceae,Prevotella,P.stercorea,0.782,0.695,-0.0211,0.759,0.806,0.0203,1.03,0.863,-1.04,0.303,0.388,0.299,0.692,0.858,0.581,No,No,No
Rikenellaceae,Alistipes,A.indistinctus,0.301,0.582,0.00492,0.428,0.392,0.011,0.703,1.49,0.448,0.482,0.137,0.654,0.836,0.641,0.859,No,No,No
Rikenellaceae,Alistipes,A.massiliensis,-0.157,-0.245,-0.00546,0.279,0.346,0.0064,-0.563,-0.707,-0.853,0.574,0.48,0.394,0.836,0.861,0.661,No,No,No
Rikenellaceae,Alistipes,A.onderdonkii,-0.235,0.0886,-0.0123,0.304,0.388,0.0107,-0.774,0.228,-1.14,0.439,0.819,0.253,0.801,0.954,0.581,No,No,No
